First Name,Last Name,ID,Height,Eye Color,Hair Color,Gender,Skin Color,Social,Processing,Decision,Tactics
Jacoby,Cameron,0001227,0.02,0.25,0.12,0.21,0.73,0.23,0.11,0.03,0.54
Julie,Joseph,0001228,0.1,0.96,0.33,0.3,0.13,0.32,0.17,0.69,0.55
Kyle,Peck,0001229,0.94,0.38,0.38,0.68,0.44,0.48,0.38,0.21,0.93
Crystal,Reyna,0001230,0.49,0.09,0.52,0.85,0.25,0.4,0.66,0.77,0.43
Reginald,Farmer,0001231,0.51,0.67,0.68,0.65,0.52,0.11,0.17,0.23,0.13
Madelynn,Becker,0001232,0.21,0.21,0.85,0.81,0.35,0.44,0.53,0.41,0.3
Lawson,Rowland,0001233,0.29,0.62,0.66,1,0.05,0.7,0.61,0.14,0.19
Harleigh,Buchanan,0001234,0.84,0.72,0.77,0.3,0.14,0.19,0.04,0.4,0.36
Enrique,Fry,0001235,0.26,0.72,0.62,0.6,0.44,0.47,0.86,0.07,0.77
Clarissa,Bernard,0001236,0.13,0.14,0.01,0.77,0.89,0.3,0.51,0.97,0.51
Jair,Fletcher,0001237,0.71,0.21,0.12,0.16,0.02,0.72,0.94,0.33,0.68
Anaya,Mathis,0001238,0.06,0.49,0.1,0.26,0.12,0.75,0.09,0.3,0.88
Gustavo,Padilla,0001239,0,0.28,0.77,0.65,0.69,0.78,0.66,0.7,0.79
Maggie,Roach,0001240,0.05,0.06,0.94,0.58,0.73,0.97,0.44,0.37,0.57
Caspian,Vasquez,0001241,0.46,0.11,0.95,0.42,0.82,0.66,0.27,0.88,0.92
Rose,Rios,0001242,0.04,0.09,0.48,0.76,0.42,0.49,0.11,0.89,0.29
Israel,Neal,0001243,0.93,0.6,0.6,0.27,0.72,0.52,0.83,0.64,0.25
Talia,Henry,0001244,0.42,0.73,0.89,0.66,0.47,0.45,0.99,0.04,0.06
Carlos,Duke,0001245,0.81,0.58,0.7,0.62,0.35,0.89,0.82,0.12,0.89
Melani,Friedman,0001246,0.59,0.68,0.51,0.87,0.97,0.68,0.53,0.83,0.43
Darwin,Fry,0001247,0.45,0.99,0.68,0.17,0.73,0.22,0.63,0.86,0.45
Clarissa,Zamora,0001248,0.86,0.97,0.09,0.9,0.59,0.62,0.54,0.34,0.23
Quentin,Hardin,0001249,0.9,0.69,0.16,0.75,0.37,0.74,0.54,0.72,0.18
Vada,Fernandez,0001250,0.16,0.31,0.23,0.55,0.44,1,0.65,0.64,0.71
Bentley,Morgan,0001251,0.21,0.92,0.52,0.11,0.13,0.32,0.62,0.2,0.15
Delilah,Fletcher,0001252,0.39,0.91,0.95,0.56,0.25,0.62,0.55,0.23,0.25
Jay,Pham,0001253,0.29,0.02,0.81,0.57,0.29,0.33,0.89,0.21,0.4
Raelyn,Steele,0001254,0.12,0.47,0.28,0.89,0.45,0.47,0.66,0.19,0.68
Elian,Green,0001255,0.98,0.62,0.76,0.2,0.51,0.88,0.06,0.4,0.11
Zoe,Harrell,0001256,0.87,0.54,0.8,0.15,0.61,0.15,0.47,0.65,0.82
Nelson,Parsons,0001257,0.67,0.68,0.46,0.53,0.61,0.22,0.67,0.16,0.56
Maia,James,0001258,0.88,0.53,0.03,0.97,0.26,0.51,0.31,0.64,0.92
Jaxson,Coffey,0001259,0.91,0.05,0.29,0.18,0.98,0.49,0.62,0.78,0.48
Paola,Shaffer,0001260,0.87,0.11,0.15,0.8,0.31,0.06,0.89,0.96,0.51
Dexter,Fowler,0001261,0.78,0.85,0.51,0.09,0.91,0.51,0.1,0.41,0.28
Lennon,Ellison,0001262,0.93,0.19,0.42,0.74,0.69,0.93,0.58,0.33,0.06
Kye,Jefferson,0001263,0.83,0.78,0.29,0.52,0.61,0.06,0.27,0.9,0.15
Julieta,Atkinson,0001264,0.78,0.1,0.49,0.67,0.77,0.97,0.65,0.54,0
Duke,Richmond,0001265,0.4,0.86,0.75,0.88,0.4,0.13,0.33,0.28,0.01
Whitney,Dominguez,0001266,0.82,0.36,0.58,0.35,0.21,0.69,0.23,0.99,0.9
Kaden,Little,0001267,0.5,0.43,0.48,0.18,0.56,0.49,0.24,0.77,0.76
Harley,Shepherd,0001268,0.61,0.92,0.2,0.69,0.25,0.75,0.06,0.7,0.88
Ronald,Maddox,0001269,0.18,0.63,0.2,0.72,0.28,0.95,0.85,0.25,0.55
Zainab,Delgado,0001270,0.42,0.26,0.23,0.61,0.2,0.25,0.44,0.63,0.82
Colt,Barton,0001271,0.65,0.4,0.43,0.34,0.87,0.28,0.65,0.47,0.63
Danna,Bryan,0001272,0.09,0.31,0.26,0.01,0.01,0.88,0.56,0.22,0.1
Jaxtyn,Acosta,0001273,0.3,0.11,0.78,0.24,0.64,0.24,0.85,0.22,0.14
Kaia,Pineda,0001274,0.14,0.13,0.63,0.43,0.5,0.91,0.41,0.33,0.9
Gerardo,Tapia,0001275,0.43,0.07,0.54,0.03,0.58,0.87,0.32,0.18,0.82
Michaela,Bean,0001276,0.24,0.14,0.34,0.01,0.28,0.93,0.09,0.99,0.54
Mccoy,Gallegos,0001277,0.23,0.17,0.38,0.19,0.28,0.36,0.17,0.08,0.43
Ari,Vincent,0001278,0.39,0.24,0.52,0.65,0.67,0.11,0.18,0.52,0.34
Aarav,Morris,0001279,0.9,0.31,0.03,0.47,0.12,0.8,0.3,0.66,0.93
Genesis,Perry,0001280,0.63,0.08,0.37,0.43,0.27,0.42,0.46,0.02,0.2
Waylon,Jensen,0001281,0.25,0.56,0.58,0.04,0.07,0.16,0.95,0.39,0.35
Jane,Colon,0001282,0.79,0.49,0.02,0.57,0.24,0.42,0.88,1,0.8
Bruce,Mosley,0001283,0.73,0.2,0.68,0.48,0.82,0.44,0.47,0.61,0.73
Zaniyah,Lucas,0001284,0.07,0.81,0.64,0.89,0.1,0.95,0.99,0.29,0.44
Chance,Gillespie,0001285,0.33,0.82,0.26,0.59,0.43,0.14,0.86,0.99,0.42
Alianna,Shaw,0001286,0.56,0.3,0.61,0.45,0.59,0.54,0.42,0.61,0.08
Elliot,Lam,0001287,0.3,0.64,0.9,0.85,0.31,0.86,0.66,0.39,0.18
Karina,Hancock,0001288,0.41,0.33,0.15,0.28,0.19,0.12,0.24,0.5,0.65
Rex,Xiong,0001289,0.82,0.51,0.82,0.42,0.54,0.13,0.3,0.62,0.4
Amayah,Duran,0001290,0.03,0.09,0.15,0.29,0.47,0.4,0.63,0.41,0.53
Ismael,O?Neill,0001291,0.96,0.14,0.71,0.7,0.87,0.83,0.26,0.67,0.69
Kenna,Duarte,0001292,0.37,0.68,0.32,0.91,0.67,0.65,0.69,0.98,0.05
Abdullah,Acosta,0001293,0.19,0.87,0.68,0.51,0.44,0.8,0.12,0.54,0.38
Kaia,Valentine,0001294,0.54,0.26,0.28,0.58,0.87,0.83,0.68,0.73,0.58
Demetrius,Nolan,0001295,0.01,0.4,0.35,0.62,0.02,0.75,0.14,0.85,0.47
Itzayana,Jennings,0001296,0.64,0.25,0.41,0.69,0.74,0.41,0.63,0.43,0.34
Corbin,Thomas,0001297,0,0.87,0.98,0.22,0.24,0.18,0.85,0.6,0.63
Elizabeth,Meyers,0001298,0.12,0.84,0.72,0.38,0.02,0.19,0.87,0.23,0.85
Julien,Guevara,0001299,0.72,0.32,0.39,0.32,0.1,0.3,0.1,0.68,0.15
Teresa,Clarke,0001300,0.77,0.92,0.73,0.28,0.88,0.43,0.79,0.97,0.44
Stetson,Cunningham,0001301,0.5,0.97,0.55,0.66,0.71,0.14,0.6,0.73,0.49
Marley,Calderon,0001302,0.87,0.48,0.7,0.14,0.2,0.57,0.03,0.68,0.91
Oakley,Sanchez,0001303,0.9,0.21,0.26,0.08,0.87,0.15,0.25,0.65,0.79
Aria,Rhodes,0001304,0.12,0.87,0.15,0.96,0.76,0.97,0.64,0.98,0.35
Titus,Page,0001305,0.02,0.12,0.31,0.27,0.32,0.52,0.02,0.11,0.59
Cataleya,Brock,0001306,0.87,0.46,0.79,0.43,0.41,0.02,0.56,0.57,0.25
Julio,Spence,0001307,0.07,0.49,0.43,0.36,0.16,0.45,0.56,0.38,0.63
Aislinn,Benson,0001308,0.68,0.92,0.08,0.91,0.47,0.92,0.22,0.92,0.99
Desmond,Garrison,0001309,0.36,0.94,0.06,0.33,0.13,0.32,0.65,0.41,0.54
Cadence,Rollins,0001310,0.95,0.43,0.83,0.47,0.94,0.38,0.88,0.54,0.97
Wes,Durham,0001311,0.09,0.45,0.79,0.48,0.05,0.78,0.47,0.62,0.55
Tiffany,Hall,0001312,0.47,0.43,0.59,0.85,0.95,0.34,0.15,0.87,0.33
Thomas,Murillo,0001313,0.92,0.08,0.3,0.83,0.98,0.91,0.24,0.02,0.77
Mikaela,Bennett,0001314,0.72,0.86,0.32,0.53,0.77,0.31,0.84,0.27,0.05
Leonardo,Whitney,0001315,0.24,0.23,0.52,0.35,0.75,0.06,0.25,0.15,0.07
Madalynn,Juarez,0001316,0.58,0.83,0.52,0.27,0.68,0.7,0.83,0.9,0.94
Joaquin,Archer,0001317,0.35,0.37,0.68,0.94,0.73,0.72,0.93,0.67,0.55
Kadence,Livingston,0001318,0.74,0.91,0.07,0.65,0.64,0.51,0.06,0.98,0.08
Ambrose,Wu,0001319,0.51,0.99,0.81,0.27,0.37,0.34,0.07,0.93,0.09
Liana,McMillan,0001320,0.72,0.4,0.89,0.07,0.38,0.13,0.08,0.91,0.29
Rocky,Barry,0001321,0.04,0.79,0.45,0.37,0,0.21,0.86,0.63,0.73
Waverly,Conley,0001322,0.03,0.69,0.01,0.84,0.65,0.16,0.65,0.13,0.35
Marvin,Alexander,0001323,0,0.64,0.43,0.01,0.19,0.43,0.43,0.87,0.09
Lyla,Ramos,0001324,0.56,0.84,0.84,0.98,0.88,0.22,0.54,0.73,0.46
Angel,Rosales,0001325,0.32,0.2,0.33,0.1,0.01,0.24,0.42,0.71,0.19
Kinley,McLean,0001326,0.57,0.96,0.99,0.07,0.11,0.4,0.6,0.92,0.21
Crosby,Walton,0001327,0.77,0.25,0.7,0.77,0.36,0.89,0.72,0.05,0.92
Scarlet,Kramer,0001328,0.27,0.6,0.13,0.53,0.55,0.91,0.22,0.35,0.86
Kylan,Rocha,0001329,0.01,0.86,0.59,0.45,0.8,0.9,0.81,0.88,0.39
Emmie,Callahan,0001330,0.35,0.56,0.08,0.28,0.97,0.39,0.45,0.44,0.38
Quinton,Alfaro,0001331,0.13,0.86,0.22,0.6,0.99,0.06,0.78,0.44,0.15
Yasmin,Jensen,0001332,0.63,0.48,0.64,0.62,0.06,0.04,0.37,0.6,0.94
Cash,Lyons,0001333,0.52,0.33,0.4,0.27,0.6,0.59,0.36,0.28,0.32
Kenzie,Rivas,0001334,0.71,0.22,0.01,0.8,0.76,0.12,0.44,0.45,0.72
Damon,Rasmussen,0001335,0.21,0.96,0.74,0.01,0.78,0.06,0.73,0.32,0.89
Esperanza,Horne,0001336,0.82,0.29,0.71,0.6,0.27,0.29,0.41,0.39,0.67
Zev,Cohen,0001337,0.07,0.14,0.7,0.63,0.49,0.17,0.08,0.17,0.03
Destiny,Deleon,0001338,0.62,0.04,0.97,0.08,0.57,0.7,0.06,0.01,0.52
Nasir,Greer,0001339,0.92,0.82,0.6,0.6,0.14,0.12,0.4,0.01,0.25
Reina,Valenzuela,0001340,0.31,0.28,0.56,0.01,0.24,0.35,0.93,0.09,0.76
Jamari,Bullock,0001341,0.4,0.24,0.81,0.06,0.05,0.3,0.58,0.06,0.42
Winnie,Goodwin,0001342,0.44,0.42,0.32,0.29,0.49,0.85,0.07,0.87,0.92
Kaison,Sims,0001343,0.06,0.26,0.49,0.69,0.18,0.27,0.67,0.43,0.92
Lena,Stephens,0001344,0.05,0.29,0.61,0.56,0.78,0.93,0.71,0.19,0.62
Messiah,Park,0001345,0.37,0.94,0.16,0.98,0.17,0.27,0.63,0.32,0.18
Lia,Rasmussen,0001346,0.05,0.92,0.92,0.65,0.79,0.92,0.01,0.25,0.24
Will,Hanna,0001347,0.17,0.92,0.95,0.22,0.41,0.13,0.63,0.05,0.11
Cynthia,Byrd,0001348,0.51,0.89,0.7,0.9,0.21,0.25,0.17,0.35,0.44
Cristian,Galvan,0001349,0.34,0.9,0.87,0.3,0.42,0.58,0.87,0.24,0.11
Dallas,Farley,0001350,0.83,0.56,0.21,0.34,0.68,0.16,0.4,0.53,0.46
Graysen,Bradford,0001351,0.19,0.55,0.9,0.86,0.99,0.6,0.29,0.01,0.49
Rhea,Shah,0001352,0.7,0.7,0.03,0.4,0.86,0.64,0.72,0.5,0.18
Zain,Greene,0001353,0.96,0.87,0.93,0.31,0.35,0.62,0.31,0.44,0.89
Selena,Ward,0001354,0.15,0.48,0.68,0.98,0.46,0.61,0.37,0.75,0.28
Jameson,Webb,0001355,0.5,0.11,0.64,0.5,0.51,1,0.49,0.72,0.78
Ariella,Mann,0001356,0.79,0.06,0.85,0.87,0.46,0.81,0.44,0.09,0.37
Nehemiah,Wyatt,0001357,0.88,0.14,0.09,0.23,0.48,0.64,0.35,0.65,0.29
Liberty,Delgado,0001358,0.89,0.66,0.03,0.73,0.57,0.41,0.97,0.22,0.46
Colt,Villanueva,0001359,0.66,0.67,0.05,0.22,0.58,0.76,0.35,0.93,0.28
Monroe,Kennedy,0001360,0.41,0.82,0.45,0.29,0,0.02,0.87,0.5,0.57
Maxwell,Velazquez,0001361,0.87,0.57,0.23,0.06,0.15,0.6,0.87,0.49,0.99
Jaliyah,Hampton,0001362,0.88,0.74,0.32,0.98,0.83,0.81,0.62,0.68,0.89
Hank,Morton,0001363,0.01,0.48,0.19,0.81,0.85,0.81,0.06,0.23,0.88
Mallory,Hurley,0001364,0.76,0.76,0.98,0.81,0.65,0.6,0.11,0.91,0.52
Van,Mercado,0001365,0.47,0.69,0.21,0.78,0.36,0.11,0.31,0.12,0.33
Mckinley,Alfaro,0001366,0.86,0.22,0.07,0.92,0.11,0.22,0.39,0.57,0.86
Xzavier,Rodriguez,0001367,0.6,0.37,0.61,0.65,0.47,0.57,0.97,0.52,0.08
Evelyn,Grant,0001368,0.31,0.21,0.86,0.56,0.63,0.69,0.78,0.18,0.96
Leon,Wilcox,0001369,0.64,0.65,0.75,0.69,0.12,0.27,0.83,0.39,0.21
Ashlyn,Finley,0001370,0.08,0.44,0.57,0.56,0.86,0.83,0.63,0.41,0.95
Calum,Mills,0001371,0.31,0.04,0.72,0.7,0.33,0.41,0.56,0.86,0.93
June,Herrera,0001372,0.22,0.25,0.4,0.7,0.5,0.73,0.91,0.98,0.13
River,Silva,0001373,0.81,0.59,0.36,0.3,0.9,0.46,0.51,0.06,0.16
Lucia,Dodson,0001374,0.75,1,0.16,0.87,0.32,0.22,0.9,0.68,0.29
Seven,Nava,0001375,0.56,0.58,0.11,0.35,0.26,0.25,0.24,0.16,0.44
Scout,Jefferson,0001376,0.19,0.74,0.72,0.29,0.91,0.62,0.39,0.78,0.5
Raylan,Fitzpatrick,0001377,0.83,0.73,0.88,0.92,0.42,0.43,0.51,0.86,0.17
Annabella,Foster,0001378,0.68,0.44,0.04,0.34,0.81,0.92,0.74,0.32,0.06
Kayden,Hess,0001379,0.73,0.6,0.2,0.43,0.16,0.95,0.54,0.82,0.55
Kaliyah,Garcia,0001380,0.95,0.91,0.22,0.92,0.94,0.25,0.62,0.06,0.07
James,Krueger,0001381,0.08,0.44,0.45,0.47,0.77,0.95,0.66,0.45,0.53
Kamari,Sanders,0001382,0.04,0.14,0.96,0.04,0.42,0.53,0.58,0.44,0.24
Jose,Orr,0001383,0.75,0.03,0.83,0.52,0.83,0.52,0.95,0.94,0.69
Alaiya,Barnes,0001384,0.33,0.28,0.17,0.66,0.26,0.78,0.08,0.19,0.14
Damian,Harmon,0001385,0.72,0.95,0.2,0.37,0.5,0.18,0.75,0.41,0.5
Maren,Cortes,0001386,0.28,0.93,0.28,0.79,0.36,0.04,0.61,0.92,0.99
Banks,Banks,0001387,0.27,0.22,0.13,0.73,0.26,0.05,0.97,0.98,0.9
Cali,Wilkins,0001388,0.3,0.08,0.18,0.31,1,0.21,0.01,0.24,0.95
Yusuf,Hood,0001389,0.8,0.66,0.67,0.06,0.14,0.33,0.33,0.47,0.27
Briana,McPherson,0001390,0.08,0.52,0.73,0.91,0.97,0.2,0.98,0.6,0.1
Foster,Peck,0001391,0.94,0.91,0.61,0.36,0.92,0.67,0.56,0.7,0.87
Crystal,Sloan,0001392,0.43,0.87,0.48,0.88,0.78,0.69,0.46,0.31,0.57
Ocean,Shepard,0001393,0.8,0.13,0.26,0.44,0.29,0.65,0.23,0.2,0.5
Noor,Conner,0001394,0,0.39,0.98,0.98,0.47,0.46,0.85,0.35,0.21
Phillip,Ingram,0001395,0.82,0.2,0.1,0.41,0.76,0.2,0.54,0.34,0.36
Katie,O?Donnell,0001396,0.9,0.76,0.39,0.25,0.97,0.39,0.97,0.64,0.22
Lian,Merritt,0001397,0.66,0.59,0.52,0.78,0.73,0.09,0.98,0.34,0.51
Kaisley,Clayton,0001398,1,0.53,0.21,0.8,0,0.92,0.81,0.18,0.97
Boston,Wade,0001399,0.15,0.12,0.13,0.1,0.84,0.72,0.25,0.7,0.44
Evie,Beck,0001400,0.5,0.59,0.15,0.24,0.34,0.55,0.94,0.65,0.67
Eduardo,Giles,0001401,0.25,0.56,0.01,0.61,0.05,0.45,0.96,0.64,0.32
Bailee,Vaughan,0001402,0.04,0.89,0.74,0.7,0.47,0.52,0.38,0.78,0.51
Castiel,Morton,0001403,0.05,0.75,0.67,0.28,0.41,0.1,0.69,0.72,0.05
Mallory,Kramer,0001404,0.46,0.12,0.37,0.29,0.16,0.59,0.4,0.31,0.41
Kylan,Vaughn,0001405,0.05,0.31,0.87,0.31,0.5,0.11,0.1,0.31,0.16
Reign,Chavez,0001406,0.14,0.17,0.8,0.13,0.73,0.64,0.42,0.65,0.36
Ian,Goodman,0001407,0.74,0.59,0.21,0.14,0.19,0.13,0.98,0.67,0.62
Carolina,Mora,0001408,0.64,0.93,0.27,0.66,0.41,0.56,0.44,0.37,0.17
Arturo,Rojas,0001409,0.77,0.44,0.99,0.68,0.31,0.46,0.93,0.27,0.62
Adaline,Richmond,0001410,0.99,0.55,0.55,0.67,0.82,0.74,0.01,0.41,0.32
Mordechai,Rhodes,0001411,0.24,0.2,0.41,0.48,0.24,0.83,0.44,0.36,0.16
Tatum,Villalobos,0001412,0.64,0.63,0.91,0,0.8,0.81,0.24,0.73,0.39
Reuben,Carey,0001413,0.19,0.93,0.45,0.76,0.13,0.22,0.29,0.1,0.46
Alora,Little,0001414,0.87,0.53,0.8,0.59,0.25,0.45,0.36,0.33,0.93
Lennox,Hanna,0001415,0.65,0.95,0.92,0.79,0.59,0.33,0.9,0.83,0.19
Cynthia,Woodward,0001416,0.93,0.77,0.62,0.03,0.24,0.54,0.77,0.81,0.61
Jeremias,Goodwin,0001417,0.14,0.01,0.85,0.1,0.42,0.85,0.34,0.17,0.13
Shiloh,Franco,0001418,0.3,0.87,0.99,0.5,0.28,0.86,0.86,0.4,0.48
Gage,Branch,0001419,0.58,0.32,0.12,0.71,0.02,0.12,0.74,0.53,0.55
Luisa,Kirk,0001420,0.47,0.92,0.13,0.2,0.82,0.89,0.63,0.96,0.98
Alessandro,O?Neill,0001421,0.53,0.09,0.68,0.1,0.45,0.08,0.45,0.7,0.72
Kenna,McKay,0001422,0.02,0.54,0.5,0.46,0.03,0.01,0.97,0.39,0.97
Joey,Berg,0001423,0.61,0.79,0.58,0.73,0.25,0.55,0.2,0.68,0.69
Emmalyn,Wright,0001424,0.42,0.74,0.26,0.75,0.78,0.77,0.07,0.65,0.49
Grayson,Stanley,0001425,0.38,0.8,0.35,0.13,0.62,0.78,0.43,0.33,0.64
Gracelyn,Conrad,0001426,0.84,0.38,0.15,0.15,0.19,0.44,0.51,0.82,0.45
Dilan,Parra,0001427,0.59,0.34,0.87,0.43,0.42,0.65,0.22,0.69,0.02
Dalary,Novak,0001428,0.64,0.61,0.38,0.29,0.86,0.1,0.08,0.25,0.31
Bishop,Gregory,0001429,0.92,0.31,0.51,0.02,0.7,0.36,0.18,0.58,0.34
Alaya,Clark,0001430,0.75,0.76,0.54,0.13,0.02,0.92,0.5,0.62,0.99
John,Kelly,0001431,0.78,0.22,0.43,0.91,0.65,0.38,0.03,0.76,0.33
Ruby,Rubio,0001432,0.82,0.21,0.88,0.89,0.3,0.22,0.5,0.41,0.2
Titan,Ray,0001433,0.89,0.87,0.07,0.73,0.35,0.71,0.86,0.91,0.06
Ruth,Wiggins,0001434,0.38,0.49,0.08,0.1,0.83,0.82,0.29,0.25,0.78
Azariah,Roman,0001435,0.27,0.34,0.74,0.05,0.41,0.29,0.48,0.68,0.78
Astrid,Harding,0001436,0.42,0.51,0.07,0.74,0.15,0.92,0.73,0.66,0.8
Brodie,McMillan,0001437,0.94,0.02,0.04,0.03,0.99,0.09,0.14,0.16,0.06
Oakleigh,Davidson,0001438,0.48,0.26,0.18,0.9,0.25,0.79,0.19,0.4,0.12
Dante,Drake,0001439,0.48,0.81,0.32,0.4,0.01,0.86,0.82,0.03,0.23
Jayleen,Schroeder,0001440,0.32,0.39,0.4,0.65,0.65,0.01,0.99,0.26,0.9
Izaiah,Le,0001441,0.89,0.53,0.61,0.53,0.34,0.75,0.52,0.1,0.66
Myla,Chandler,0001442,0.74,0.73,0.71,0.43,0.21,0.75,0.3,0.51,0.54
Royal,Jackson,0001443,0.82,0.62,0.39,0.73,0.66,0.38,0.74,0.47,0.01
Avery,Burch,0001444,0.18,0.9,0.49,0.1,0.8,0.89,0.48,0.12,0.44
Gerald,Pena,0001445,0.53,0.44,0.81,0.43,0.76,0.34,0.53,0.54,0.4
Rachel,Ferguson,0001446,0.23,0.53,0.93,0.43,0.04,0.48,0.6,0.86,0.07
Miguel,Morse,0001447,0.57,0.12,0.61,0.56,0.07,0.07,0.57,0.59,0.52
Kairi,Rosales,0001448,0.93,0.42,0.16,0.84,0.88,0.26,0.32,0.68,0.82
Wilder,Carr,0001449,0.75,0.29,0.15,0.35,0.73,0.66,0.61,0.2,0.44
Rowan,Clements,0001450,0.75,0.81,0.87,0.35,0.84,0.44,0.43,0.15,0.53
Fisher,Mays,0001451,0.67,0.34,0.94,0.41,0.12,0.68,0.75,0.83,0.16
Denisse,Garcia,0001452,0.04,0.33,0.54,0.92,0.9,0.41,0.02,0.77,0.58
James,Burns,0001453,0,0.69,0.39,0.53,0.69,0.98,0.69,0.31,0.08
Emerson,Stanton,0001454,0.53,0.07,0.76,0.69,0.25,0.91,0.2,0.48,0.03
Zyair,Morse,0001455,0.71,0.76,0.81,0.1,0.43,0.85,1,0.98,0.78
Kairi,Cummings,0001456,0.7,0.1,0.15,0.85,0.96,0.45,0.4,0.15,0.31
Raiden,Kramer,0001457,0.52,0.62,0.3,0.12,0.23,0.49,0.79,0.82,0.85
Hanna,Reid,0001458,0.14,0.08,0.85,0.52,0.43,0.13,0.35,0.55,0.95
Josue,Ellison,0001459,0.97,0.97,0.57,0.11,0.62,0.22,0.07,0.72,0.71
Raina,Sanford,0001460,0.96,0.5,0.77,0.53,0.77,0.17,0.28,0.03,0.09
Truett,Ruiz,0001461,0.72,0.16,0.09,0.19,0.59,0.36,0.45,0.12,0.74
Emery,Villanueva,0001462,0.04,0.84,0.97,0.61,0.59,0.12,0.09,0.14,0.94
Huxley,Chandler,0001463,0.78,0.67,0.77,0.82,0.73,0.12,0.27,0.64,0.17
Viviana,Phillips,0001464,0.75,0.5,0.37,0.16,0.35,0.85,0.16,0.18,0.26
Andrew,Payne,0001465,0.81,0.92,0.64,0.2,0.78,0.48,0.8,0.78,0.55
London,Rojas,0001466,0.36,0.48,0.69,0.12,0.63,0.4,0.26,0.37,0.68
Colin,Ortiz,0001467,0.83,0.34,0.64,0.45,0.98,0.77,0.24,0.51,0.17
Anna,Hoffman,0001468,0.92,0.78,0.57,0.62,0.29,0.47,0.34,0.48,0.13
Steven,Graves,0001469,0.4,0.54,0.06,0.65,0.25,0.57,0.56,0.34,0.78
Elle,Arellano,0001470,0.34,0.76,0.9,0.66,0.83,0.67,0.47,0.67,0.84
Kellan,Jordan,0001471,0.47,0.51,0.02,0.05,0.59,0.41,0.13,0.52,0.15
Adalynn,Shannon,0001472,0.26,0.22,0.26,0.91,0.35,0.87,0.26,0.27,0.42
Eliel,Kennedy,0001473,0.01,0.17,0.37,0.96,0.7,0.25,0.33,0.64,0.89
Brianna,Graham,0001474,0.32,0.83,0.87,0.41,0.72,0.39,0.88,0.47,0.55
Giovanni,Torres,0001475,0.02,0.59,0.08,0.98,0.16,0.9,0.74,0.42,0.26
Violet,Potter,0001476,0.13,0.02,0.29,0.19,0.06,0.15,0.7,0.92,0.09
Lucca,Chavez,0001477,0.15,0.28,0.11,0.99,0.92,0.41,0.33,0.25,0.42
Nevaeh,Dyer,0001478,0.24,0.91,0.96,0.24,0.41,0.07,0.48,0.79,0.13
Atreus,Sheppard,0001479,0.45,0.11,0.41,0.7,0.91,0.54,0.93,0.07,0.38
Veda,Blackwell,0001480,0.66,0.54,0.04,0.39,0.41,0.32,0.65,0.41,0.14
Marcellus,Warren,0001481,0.97,0.19,0.53,0.72,0.01,0.13,0.35,0.47,0.38
Sloane,Hahn,0001482,0.39,0.86,0.56,0.05,0.84,0.57,0.37,0.1,0.69
Kabir,Cordova,0001483,0.64,0.27,0.98,0.96,0.89,0.9,0.87,0.58,0.37
Florence,Hopkins,0001484,0.32,0.05,0.6,0,0.63,0.08,0.65,0.89,0.1
Ali,Adams,0001485,0.1,0.54,0.09,0.48,0.96,0.11,0.57,0.94,0.83
Stella,Felix,0001486,0.48,0.56,0.37,0.26,0.62,0.71,0.8,0.52,0.05
Rodney,Hardin,0001487,0.91,0.63,0.22,0.51,0.52,0.74,0.99,0.76,0.48
Vada,Melendez,0001488,0.72,0.37,0.61,0.19,0.35,0.05,0.9,0.04,0.03
Nikolas,Pacheco,0001489,0.59,0.1,0.53,0.74,0.62,0.54,0.89,0.96,0.7
Paris,Stephens,0001490,0.6,0.5,0.63,0.9,0.1,0.13,0.34,0.04,0.86
Messiah,Delarosa,0001491,0.68,0.61,0.3,0.79,0.94,0.32,0.81,0.07,0.91
Iyla,Moody,0001492,0.35,0.04,0.55,0.4,0.88,0.72,0.67,0.6,0.46
Ryland,Curry,0001493,0.24,0.41,0.73,0.65,0.25,0.82,0.93,0.6,0.97
Alison,Sharp,0001494,0.27,0.47,0.09,0.23,0.32,0.48,0.7,0.14,0.92
Royce,Petersen,0001495,0.87,0.91,0.77,0.38,0.87,0.01,0.06,0.15,0.29
Fernanda,Hampton,0001496,0.48,0.94,0.53,0.42,0.08,0.91,0.28,0.46,0.15
Hank,Bradshaw,0001497,0.7,0.77,0.07,0.98,0.64,0.39,0.44,0.04,0.74
Berkley,Morse,0001498,0.38,0.51,0.25,0.54,0.2,0.45,0.6,0.49,0.71
Bode,Bowen,0001499,0.35,0.75,0.84,0.99,0.71,0.92,0.67,0.31,0.3
Dream,Becker,0001500,0.08,0.99,0.38,0.03,0.39,0.8,0.07,0.42,0.97
Lawson,Guzman,0001501,0.95,0.71,0.85,0.59,0.24,0.23,0.18,0.66,0.76
Ashley,McClure,0001502,0.78,0.43,0.48,0.83,0.18,0.43,0.41,0.34,0.42
Reese,Rodriguez,0001503,0.01,0.47,0.15,0.23,0.91,0.26,0.51,0.84,0.29
Evelyn,Small,0001504,0.71,0.02,0.15,0.94,0.76,0.65,0.17,0.34,0.64
Rudy,Rosales,0001505,0.21,0.76,0.27,0.2,0.03,0.27,0.79,0.31,0.83
Kinley,Norris,0001506,0.87,0.68,0.09,0.77,0.41,0.17,0.24,0.52,0.07
Cairo,Rodriguez,0001507,0.8,0.5,0.26,0.12,0.92,0.13,0.91,0.42,0.07
